Location,Headquarters,Type of ownership,Industry,Rating,Sector,hourly,avr_salary,company_txt,age,job_state,same_state,python_yn,R_yn,sql_yn,excel_yn,job_title,seniority,desc_len,num_comp,employees_num,revenue_avr
"Albuquerque, NM","Goleta, CA",Company - Private,Aerospace & Defense,3.8,Aerospace & Defense,0,72.0,Tecolote Research,50.0,NM,False,True,False,False,True,data scientist,na,354,0,750.5,0.075
"Linthicum, MD","Baltimore, MD",Other Organization,Health Care Services & Hospitals,3.4,Health Care,0,87.5,University of Maryland Medical System,39.0,MD,False,True,False,False,False,data scientist,na,671,0,10000.0,3.5
"Richland, WA","Richland, WA",Government,Energy,3.8,"Oil, Gas, Energy & Utilities",0,76.5,PNNL,58.0,WA,True,True,False,False,False,data scientist,na,516,3,3000.5,0.75
"New York, NY","New York, NY",Company - Private,Advertising & Marketing,2.9,Business Services,0,114.5,Affinity Solutions,25.0,NY,True,True,False,True,True,data scientist,na,378,3,125.5,
"Dallas, TX","Dallas, TX",Company - Public,Real Estate,3.4,Real Estate,0,95.0,CyrusOne,23.0,TX,True,True,False,True,True,data scientist,na,513,3,350.5,1.5
"Baltimore, MD","Baltimore, MD",Company - Private,Banks & Credit Unions,4.1,Finance,0,73.5,ClearOne Advantage,15.0,MD,True,False,False,False,True,data scientist,na,269,0,750.5,
"San Jose, CA","Seattle, WA",Company - Private,Consulting,3.8,Business Services,0,114.0,Logic20/20,18.0,CA,False,True,False,True,True,data scientist,na,556,0,350.5,0.0375
"Rochester, NY","Rochester, NY",Hospital,Health Care Services & Hospitals,3.3,Health Care,0,61.0,Rochester Regional Health,9.0,NY,True,False,False,False,False,na,na,208,0,10000.0,0.75
"New York, NY","New York, NY",Company - Private,Internet,4.6,Information Technology,0,140.0,<intent>,14.0,NY,True,True,False,False,False,data scientist,na,720,2,125.5,0.3
"San Jose, CA","San Francisco, CA",Company - Private,Other Retail Stores,3.5,Retail,0,163.5,Wish,12.0,CA,False,True,False,False,False,data scientist,na,408,0,750.5,1.5
"Chantilly, VA","Herndon, VA",Company - Public,Research & Development,4.1,Business Services,0,85.0,ManTech,55.0,VA,False,False,False,True,False,data scientist,na,459,0,7500.5,1.5
"Plano, TX","Bentonville, AR",Company - Public,"Department, Clothing, & Shoe Stores",3.2,Retail,0,139.0,Walmart,61.0,TX,False,False,False,True,False,data scientist,na,523,3,10000.0,10.0
"Seattle, WA","Seattle, WA",Company - Private,Advertising & Marketing,4.1,Business Services,0,65.5,Yesler,11.0,WA,True,True,False,True,True,data analyst,na,737,0,350.5,
"Newark, NJ","Newark, NJ",Subsidiary or Business Segment,Motion Picture Production & Distribution,3.6,Media,0,146.0,Audible,28.0,NJ,True,False,False,False,True,data engineer,na,283,0,3000.5,
"Cambridge, MA","Cambridge, MA",Company - Public,Biotech & Pharmaceuticals,3.9,Biotech & Pharmaceuticals,0,102.0,Blueprint Medicines,12.0,MA,True,False,False,False,True,na,na,524,3,125.5,0.003
"Mountain View, CA","Mountain View, CA",Company - Private,Enterprise Software & Network Solutions,4.3,Information Technology,0,153.5,h2o.ai,12.0,CA,True,True,False,False,True,data scientist,na,612,0,350.5,
"San Francisco, CA","San Francisco, CA",Company - Private,Enterprise Software & Network Solutions,4.2,Information Technology,0,142.5,Nuna,13.0,CA,True,False,False,True,False,data scientist,na,501,0,125.5,
"Denver, CO","Denver, CO",Nonprofit Organization,Insurance Carriers,4.0,Insurance,0,87.5,Pinnacol Assurance,108.0,CO,True,True,False,True,True,data scientist,na,662,0,750.5,0.75
"Seattle, WA","Seattle, WA",Company - Private,Internet,3.2,Information Technology,0,105.5,Porch,11.0,WA,True,True,False,True,False,data scientist,na,437,3,350.5,
"Dallas, TX","Mountain View, CA",Company - Private,Insurance Agencies & Brokerages,3.9,Insurance,0,96.0,Health IQ,10.0,TX,False,False,False,False,True,data scientist,senior,1038,0,350.5,
"Chicago, IL","New Plymouth, ID",Company - Private,Logistics & Supply Chain,3.8,Transportation & Logistics,0,112.5,Truckstop.com,28.0,IL,False,True,False,True,True,data scientist,na,868,0,750.5,
"Louisville, KY","Peachtree City, GA",Nonprofit Organization,Logistics & Supply Chain,4.3,Transportation & Logistics,0,84.0,SMC 3,88.0,KY,False,True,False,True,True,data scientist,na,405,0,125.5,0.0175
"Herndon, VA","Mc Lean, VA",Company - Private,Enterprise Software & Network Solutions,4.0,Information Technology,0,143.0,Novetta,11.0,VA,False,True,False,False,False,data scientist,na,545,3,750.5,0.3
"Cambridge, MA","New York, NY",Company - Public,Biotech & Pharmaceuticals,4.0,Biotech & Pharmaceuticals,0,86.5,Pfizer,174.0,MA,False,True,False,False,True,data scientist,na,513,0,10000.0,10.0
"Hillsboro, OR","San Jose, CA",Company - Private,Banks & Credit Unions,3.5,Finance,0,99.5,First Tech Federal Credit Union,71.0,OR,False,True,False,True,True,data scientist,na,593,0,3000.5,0.3
"Worcester, MA","Worcester, MA",Company - Public,Insurance Carriers,3.7,Insurance,0,47.5,The Hanover Insurance Group,171.0,MA,True,False,False,False,True,data analyst,na,684,0,7500.5,7.5
"Groton, CT","New York, NY",Company - Public,Biotech & Pharmaceuticals,4.0,Biotech & Pharmaceuticals,0,84.0,Pfizer,174.0,CT,False,False,False,False,True,data scientist,na,710,0,10000.0,10.0
"Richland, WA","Richland, WA",Government,Energy,3.8,"Oil, Gas, Energy & Utilities",0,76.5,PNNL,58.0,WA,True,True,False,False,False,data scientist,na,516,3,3000.5,0.75
"Detroit, MI","Detroit, MI",Company - Private,Real Estate,3.6,Real Estate,0,96.0,Amrock,26.0,MI,True,True,False,True,False,data scientist,na,470,0,3000.5,0.75
"Cambridge, MA","Basel, Switzerland",Company - Public,Biotech & Pharmaceuticals,3.8,Biotech & Pharmaceuticals,0,114.5,Novartis,27.0,MA,False,True,False,False,False,data scientist,na,688,0,10000.0,10.0
"Sunnyvale, CA","Sunnyvale, CA",Company - Public,Telecommunications Services,3.8,Telecommunications,0,121.0,Juniper Networks,27.0,CA,True,True,False,True,True,data scientist,na,320,0,7500.5,3.5
"Ipswich, MA","Ipswich, MA",Company - Private,Biotech & Pharmaceuticals,4.7,Biotech & Pharmaceuticals,0,112.5,New England Biolabs,49.0,MA,True,True,False,False,True,data scientist,na,287,3,350.5,
"San Jose, CA","Chicago, IL",Company - Private,IT Services,4.2,Information Technology,0,106.0,Clarity Insights,15.0,CA,False,True,False,True,True,data analyst,na,246,0,350.5,
"Redlands, CA","Redlands, CA",Company - Private,Computer Hardware & Software,3.5,Information Technology,0,107.0,Esri,54.0,CA,True,True,False,False,False,data scientist,na,702,1,3000.5,1.5
"Woburn, MA","Woburn, MA",Company - Private,Aerospace & Defense,4.7,Aerospace & Defense,0,110.0,Systems & Technology Research,13.0,MA,True,True,False,True,True,data scientist,na,519,0,350.5,0.3
"Fremont, CA","Gottingen, Germany",Company - Public,Biotech & Pharmaceuticals,3.5,Biotech & Pharmaceuticals,0,147.5,Sartorius,153.0,CA,False,True,False,False,True,data scientist,senior,447,0,7500.5,1.5
"Long Beach, NY","Long Beach, NY",Company - Private,Insurance Carriers,3.5,Insurance,0,106.0,Lancer Insurance,38.0,NY,True,True,False,True,True,data engineer,na,237,0,350.5,0.3
"San Francisco, CA","San Francisco, CA",Company - Private,IT Services,4.2,Information Technology,0,88.0,Sauce Labs,15.0,CA,True,True,False,True,True,data analyst,na,421,3,350.5,0.075
"San Francisco, CA","San Francisco, CA",Company - Private,Enterprise Software & Network Solutions,4.2,Information Technology,0,142.5,Nuna,13.0,CA,True,False,False,False,False,data scientist,na,537,0,125.5,
"Allendale, NJ","Shelton, CT",Company - Public,Consumer Products Manufacturing,3.4,Manufacturing,0,82.5,Edgewell Personal Care,8.0,NJ,False,False,False,False,False,na,na,485,3,7500.5,3.5
"Bellevue, WA","Foster City, CA",Company - Public,IT Services,3.7,Information Technology,0,184.5,Visa Inc.,65.0,WA,False,True,False,True,True,data scientist,senior,1092,3,10000.0,10.0
"Beavercreek, OH","Chantilly, VA",Company - Private,Aerospace & Defense,4.7,Aerospace & Defense,0,86.5,Centauri,24.0,OH,False,False,False,False,False,na,na,358,3,750.5,0.3
"Peoria, IL","Deerfield, IL",Company - Public,Industrial Manufacturing,3.7,Manufacturing,0,81.0,Caterpillar,98.0,IL,False,False,False,False,False,data scientist,na,389,3,10000.0,10.0
"Fort Lauderdale, FL","Fort Lauderdale, FL",Subsidiary or Business Segment,Advertising & Marketing,3.8,Business Services,0,91.0,Zimmerman Advertising,39.0,FL,True,True,False,True,True,data scientist,na,413,0,750.5,
"Boston, MA","Boston, MA",Company - Private,Insurance Carriers,3.3,Insurance,0,114.5,Liberty Mutual Insurance,111.0,MA,True,True,False,False,False,data scientist,na,610,3,10000.0,10.0
"Huntsville, AL","Huntsville, AL",Company - Private,Aerospace & Defense,4.6,Aerospace & Defense,0,68.0,"Torch Technologies, Inc.",21.0,AL,True,True,False,False,True,data scientist,na,230,0,3000.5,0.3
"Armonk, NY","Zurich, Switzerland",Company - Public,Insurance Agencies & Brokerages,3.7,Insurance,0,115.0,Swiss Re,160.0,NY,False,True,False,True,True,data scientist,na,684,3,10000.0,10.0
"San Diego, CA","Falls Church, VA",Company - Public,Aerospace & Defense,3.7,Aerospace & Defense,0,109.5,Northrop Grumman,84.0,CA,False,False,False,True,True,data scientist,na,628,0,10000.0,10.0
"Albuquerque, NM","Gottingen, Germany",Company - Public,Biotech & Pharmaceuticals,3.5,Biotech & Pharmaceuticals,0,75.5,Sartorius,153.0,NM,False,True,False,False,True,data scientist,na,452,0,7500.5,1.5
"San Francisco, CA","Santa Clara, CA",Company - Private,Enterprise Software & Network Solutions,4.1,Information Technology,0,154.5,Netskope,11.0,CA,False,True,False,False,True,data scientist,na,588,3,750.5,
"Saint Louis, MO","Saint Louis, MO",Company - Private,IT Services,4.7,Information Technology,0,143.5,1904labs,7.0,MO,True,True,False,True,False,data scientist,na,720,2,125.5,
"Baltimore, MD","Baltimore, MD",Company - Private,Banks & Credit Unions,4.1,Finance,0,73.5,ClearOne Advantage,15.0,MD,True,False,False,False,True,data scientist,na,269,0,750.5,
"Dallas, TX","Dallas, TX",Company - Public,Real Estate,3.4,Real Estate,0,95.0,CyrusOne,23.0,TX,True,True,False,True,True,data scientist,na,513,3,350.5,1.5
"Cincinnati, OH","Cincinnati, OH",Subsidiary or Business Segment,Metals Brokers,4.4,Mining & Metals,0,107.0,The David J. Joseph Company,138.0,OH,True,True,False,True,False,data scientist,senior,688,0,350.5,
"New York, NY","New York, NY",Company - Private,Consulting,4.3,Business Services,0,115.0,USEReady,12.0,NY,True,True,False,True,False,data scientist,na,202,0,350.5,0.0175
"Palo Alto, CA","Palo Alto, CA",Company - Public,Financial Transaction Processing,3.8,Finance,0,139.5,Bill.com,17.0,CA,True,False,False,True,False,data scientist,senior,417,0,750.5,0.075
"Richland, WA","Richland, WA",Government,Energy,3.8,"Oil, Gas, Energy & Utilities",0,67.0,Pacific Northwest National Laboratory,58.0,WA,True,False,False,False,False,data scientist,na,687,3,3000.5,0.75
"Coraopolis, PA","Coraopolis, PA",Company - Public,Sporting Goods Stores,3.8,Retail,0,85.0,DICK'S Sporting Goods - Corporate,75.0,PA,True,True,False,True,False,data scientist,na,345,3,10000.0,7.5
"Framingham, MA","Framingham, MA",Company - Private,Biotech & Pharmaceuticals,2.8,Biotech & Pharmaceuticals,0,118.0,Berg Health,17.0,MA,True,True,False,True,True,data scientist,na,271,0,125.5,0.003
"Atlanta, GA","Atlanta, GA",Company - Private,Computer Hardware & Software,4.7,Information Technology,0,79.5,Oversight Systems,20.0,GA,True,True,False,True,True,data scientist,na,419,0,125.5,0.0375
"Vancouver, WA","Palo Alto, CA",Company - Public,Computer Hardware & Software,4.0,Information Technology,0,97.5,HP Inc.,84.0,WA,False,False,False,False,False,data analyst,na,290,0,10000.0,
"Indianapolis, IN","Pleasanton, CA",Company - Private,Enterprise Software & Network Solutions,4.4,Information Technology,0,66.5,SpringML,8.0,IN,False,True,False,False,False,na,na,258,0,25.5,
"Lake Forest, IL","Lake Forest, IL",Company - Public,Wholesale,3.6,Business Services,0,179.5,Grainger,96.0,IL,True,True,False,True,True,data scientist,na,393,0,10000.0,10.0
"Maryland Heights, MO","San Diego, CA",Subsidiary or Business Segment,Research & Development,2.7,Business Services,0,76.0,EAG Laboratories,45.0,MO,False,False,False,False,True,na,na,354,0,750.5,0.075
"Charlottesville, VA","Reston, VA",Company - Private,IT Services,3.9,Information Technology,0,112.0,The Buffalo Group,13.0,VA,False,True,False,True,False,data scientist,senior,603,3,750.5,0.3
"Pittsburgh, PA","Louvain-la-Neuve, Belgium",Company - Private,Mining,3.1,Mining & Metals,0,98.0,Carmeuse,163.0,PA,False,True,False,False,False,data scientist,na,377,3,3000.5,1.5
"Vancouver, WA","Palo Alto, CA",Company - Public,Computer Hardware & Software,4.0,Information Technology,0,128.0,HP Inc.,84.0,WA,False,False,False,True,False,data scientist,senior,575,0,10000.0,
"Mountain View, CA","Mountain View, CA",Company - Private,Enterprise Software & Network Solutions,4.3,Information Technology,0,150.5,h2o.ai,12.0,CA,True,True,False,False,True,data scientist,na,522,0,350.5,
"San Francisco, CA","San Francisco, CA",Company - Private,Health Care Services & Hospitals,3.9,Health Care,0,124.0,Nurx,7.0,CA,True,True,False,True,False,data scientist,na,630,0,125.5,0.003
"Harrisburg, PA","Harrisburg, PA",Company - Private,Advertising & Marketing,4.7,Business Services,0,56.5,webfx.com,26.0,PA,True,False,False,False,True,data analyst,junior,626,0,350.5,0.0375
"Laurel, MD","Laurel, MD",Nonprofit Organization,Aerospace & Defense,4.5,Aerospace & Defense,0,130.0,Johns Hopkins University Applied Physics Laboratory,81.0,MD,True,True,False,False,True,data scientist,na,416,3,7500.5,1.5
"Chicago, IL","Chicago, IL",Company - Private,Computer Hardware & Software,4.3,Information Technology,0,77.5,Productive Edge,15.0,IL,True,False,False,True,True,data analyst,na,526,3,125.5,0.0175
"Arlington, VA","Arlington, VA",Company - Private,Consulting,4.0,Business Services,0,87.0,Excella Consulting,21.0,VA,True,True,False,True,True,data engineer,na,559,0,350.5,0.075
"Tacoma, WA","Tacoma, WA",Company - Private,Wholesale,4.4,Business Services,0,53.5,Gensco,75.0,WA,True,False,False,False,True,data analyst,na,247,0,750.5,0.3
"Plano, TX","Bentonville, AR",Company - Public,"Department, Clothing, & Shoe Stores",3.2,Retail,0,139.0,Walmart,61.0,TX,False,False,False,True,False,data scientist,na,523,3,10000.0,10.0
"San Jose, CA","Seattle, WA",Company - Private,Consulting,3.8,Business Services,0,114.0,Logic20/20,18.0,CA,False,True,False,True,True,data scientist,na,556,0,350.5,0.0375
"Miami, FL","Miami, FL",Company - Private,Enterprise Software & Network Solutions,4.2,Information Technology,0,85.5,goTRG,15.0,FL,True,True,False,True,True,data scientist,na,468,0,750.5,0.3
"Huntsville, AL","Chantilly, VA",Company - Private,IT Services,4.5,Information Technology,0,48.0,NMR Consulting,27.0,AL,False,False,False,True,True,na,na,315,0,125.5,0.0375
"New Orleans, LA","New Orleans, LA",Company - Private,Enterprise Software & Network Solutions,3.5,Information Technology,0,48.0,iSeatz,24.0,LA,True,False,False,True,True,data analyst,na,412,0,125.5,
"San Francisco, CA","San Francisco, CA",Company - Public,Biotech & Pharmaceuticals,3.5,Biotech & Pharmaceuticals,0,174.0,Nektar Therapeutics,33.0,CA,True,False,False,False,True,na,senior,621,3,350.5,0.3
"Atlanta, GA","Chicago, IL",Company - Public,Financial Analytics & Research,3.9,Finance,0,85.0,TransUnion,55.0,GA,False,True,False,True,False,data scientist,na,340,0,7500.5,1.5
"Landover, MD","Vienna, VA",Company - Private,IT Services,4.7,Information Technology,0,106.5,IT Concepts,20.0,MD,False,False,False,False,False,na,na,405,0,125.5,0.0175
"Patuxent River, MD","Atlanta, GA",Company - Private,IT Services,4.2,Information Technology,0,72.5,Scientific Research Corporation,35.0,MD,False,False,False,False,True,data analyst,na,333,0,3000.5,0.3
"Suitland, MD","Fairfax, VA",Subsidiary or Business Segment,IT Services,3.4,Information Technology,0,85.5,General Dynamics Information Technology,27.0,MD,False,False,False,False,False,na,na,561,3,10000.0,10.0
"McLean, VA","Bedford, MA",Nonprofit Organization,Federal Agencies,3.2,Government,0,97.5,MITRE,65.0,VA,False,True,False,True,True,data scientist,na,733,3,7500.5,1.5
"Fort Belvoir, VA","Reston, VA",Company - Private,IT Services,3.9,Information Technology,0,99.0,The Buffalo Group,13.0,VA,False,True,False,False,True,data scientist,na,342,3,750.5,0.3
"Milwaukee, WI","Boston, MA",Company - Private,Insurance Carriers,3.1,Insurance,0,56.5,DentaQuest,22.0,WI,False,False,False,True,True,data analyst,na,618,3,3000.5,3.5
"Silver Spring, MD","Silver Spring, MD",Company - Private,IT Services,4.1,Information Technology,0,133.0,Redjack,16.0,MD,True,True,False,False,False,data scientist,senior,758,0,25.5,
"New York, NY","New York, NY",Company - Private,Research & Development,3.8,Business Services,0,121.0,7Park Data,11.0,NY,True,True,False,False,False,data scientist,na,471,0,125.5,
"Syracuse, NY","Syracuse, NY",Company - Private,Security Services,4.7,Business Services,0,85.5,Rapid Response Monitoring,31.0,NY,True,True,False,True,False,data scientist,na,454,3,750.5,
"Houston, TX","New York, NY",Subsidiary or Business Segment,Education Training Services,4.3,Education,0,87.5,Trilogy Ed,8.0,TX,False,True,False,True,False,data scientist,na,563,3,3000.5,
"Charlotte, NC","Richmond, VA",Company - Private,IT Services,3.9,Information Technology,0,95.5,CapTech,26.0,NC,False,True,False,True,False,data engineer,na,779,3,3000.5,0.3
"Southfield, MI","Detroit, MI",Company - Public,Transportation Equipment Manufacturing,3.3,Manufacturing,0,104.5,American Axle & Manufacturing,29.0,MI,False,True,False,True,True,data scientist,senior,688,0,10000.0,7.5
"Matawan, NJ","Pompano Beach, FL",Company - Private,Computer Hardware & Software,4.7,Information Technology,0,56.5,CentralReach,11.0,NJ,False,False,False,True,True,data analyst,na,798,3,350.5,
"Phoenix, AZ","Phoenix, AZ",Company - Private,Enterprise Software & Network Solutions,4.3,Information Technology,0,55.0,Integrate,13.0,AZ,True,False,False,True,True,data analyst,senior,468,0,350.5,0.0375
"Omaha, NE","Omaha, NE",Hospital,Health Care Services & Hospitals,2.9,Health Care,0,61.5,Boys Town Hospital,46.0,NE,True,False,False,False,True,na,na,683,3,3000.5,
"San Francisco, CA","San Francisco, CA",Company - Private,Computer Hardware & Software,4.5,Information Technology,0,157.0,Demandbase,17.0,CA,True,False,False,False,False,data scientist,na,767,3,350.5,0.3
"New York, NY","New York, NY",Company - Private,Internet,4.6,Information Technology,0,140.0,<intent>,14.0,NY,True,True,False,False,False,data scientist,na,720,2,125.5,0.3
"San Francisco, CA","San Francisco, CA",Company - Private,Enterprise Software & Network Solutions,3.2,Information Technology,0,132.5,Formation,8.0,CA,True,False,False,False,True,data scientist,na,453,0,125.5,
"San Francisco, CA","San Rafael, CA",Company - Public,Computer Hardware & Software,4.0,Information Technology,0,108.0,Autodesk,41.0,CA,False,True,False,True,False,data engineer,na,488,0,7500.5,3.5
"Rockville, MD","Rockville, MD",Company - Private,Health Care Services & Hospitals,2.8,Health Care,0,107.5,DrFirst,23.0,MD,True,True,False,False,False,data scientist,na,604,0,350.5,
"Minneapolis, MN","Minneapolis, MN",Company - Private,Consulting,4.7,Business Services,0,95.0,Object Partners,27.0,MN,True,False,False,True,False,data engineer,na,471,2,125.5,0.0375
"Los Angeles, CA","Los Angeles, CA",Nonprofit Organization,Health Care Services & Hospitals,3.0,Health Care,0,119.5,L.A. Care Health Plan,26.0,CA,True,True,False,True,False,data scientist,na,528,3,3000.5,
"Charlotte, NC","Fort Mill, SC",Company - Private,Advertising & Marketing,3.2,Business Services,0,134.0,Red Ventures,23.0,NC,False,False,False,True,False,data engineer,senior,389,3,3000.5,1.5
"Cambridge, MA","Cambridge, MA",Company - Private,Enterprise Software & Network Solutions,4.4,Information Technology,0,100.5,Quick Base,24.0,MA,True,True,False,True,True,data scientist,na,594,0,350.5,
"Cincinnati, OH","Cincinnati, OH",Company - Public,TV Broadcast & Cable Networks,3.5,Media,0,107.5,The E.W. Scripps Company,145.0,OH,True,True,False,True,False,data scientist,na,1043,0,3000.5,0.75
"Washington, DC","Washington, DC",Company - Private,Internet,4.0,Information Technology,0,122.0,Upside Business Travel,8.0,DC,True,True,False,True,False,data engineer,na,643,0,125.5,
"Chicago, IL","Chicago, IL",Company - Public,Real Estate,4.3,Real Estate,0,92.5,Equity Residential,30.0,IL,True,True,False,True,True,data engineer,na,1192,3,3000.5,3.5
"Baltimore, MD","Baltimore, MD",Company - Private,Research & Development,2.3,Business Services,0,62.0,Synagro,37.0,MD,True,False,False,True,True,data analyst,na,254,0,750.5,0.3
"Santa Fe Springs, Los Angeles, CA","Santa Fe Springs, CA",Company - Private,Industrial Manufacturing,3.6,Manufacturing,0,107.5,Accuride International,57.0,CA,False,False,False,False,True,data scientist,na,568,0,3000.5,0.3
"Ashburn, VA","Foster City, CA",Company - Public,IT Services,3.7,Information Technology,0,89.5,Visa Inc.,65.0,VA,False,True,False,True,False,data scientist,senior,716,3,10000.0,10.0
"Chicago, IL","Chicago, IL",Company - Private,Consulting,4.4,Business Services,0,81.0,Maven Wave Partners,15.0,IL,True,True,False,True,True,data scientist,na,479,0,350.5,0.075
"Herndon, VA","Mc Lean, VA",Company - Private,Enterprise Software & Network Solutions,4.0,Information Technology,0,147.0,Novetta,11.0,VA,False,True,False,False,False,data scientist,senior,530,3,750.5,0.3
